filename	classname	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	is_reference	multi_labeled
364919__gowlermusic__cowbell.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
70775__thc-1138__cowbells.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
75339__neotone__cowbell2.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
91013__suicidity__medium-cowbell-of-god-045.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo_reference.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			TRUE	FALSE
126358__tdes__herd-of-cows-mooing.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
163727__felix-blume__cow-mooing-in-south-of-france-limousin 1.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
242492__klankbeeld__mooing-cow-170713-0299.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
275154__bird-man__moo.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
377603__yudena__cow-bymondfisch89.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
391026__felix-blume__cow-and-calf.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
58277__benboncan__cow.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
59245__zozzy__z-moo01.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
69641__genghis-attenborough__cow2.wav	008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Moo			FALSE	FALSE
009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck_reference.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		TRUE	FALSE
128069__1pjladd2__clucking-chickens-and-a-crowing-rooster.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
164216__pillonoise__clucking-chicken.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
200335__jsbarrett__rooster-clucking.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
316920__rudmer-rotteveel__chicken-single-alarm-call.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
316921__rudmer-rotteveel__chicken-alarm-call-full-with-occasional-bird-sound.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
346961__evsecrets__chickens-clucking-and-rooster-with-cockadoodledoo.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
361571__ondruska__chicken-01.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
72268__dobroide__20090503-hens.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
76868__robinhood76__01170-village-hen-4.wav	009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	Cluck		FALSE	FALSE
010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo_reference.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		TRUE	FALSE
200334__jsbarrett__rooster-crows.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
379597__klankbeeld__rooster-cock-nl-kukeleku-01.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
384188__inspectorj__rooster-crowing-a.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
385820__loafdv__rooster-crowing.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
39923__dobroide__20070812-rooster.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
43381__agfx__rooster-chicken-calls-1-2.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
43381__agfx__rooster-chicken-calls-1.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
69135__milton__gallo.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
81270__ra-gun__animals-hen-rooster-blaafarveverket-090721.wav	010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo	Animal	"Livestock, farm animals, working animals"	Fowl	"Chicken, rooster"	"Crowing, cock-a-doodle-doo"		FALSE	FALSE
011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack_reference.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		TRUE	FALSE
185134__dobroide__20130403-duck-04.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
187261__jonnyhoff91__duck.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
188376__calodas__duck-quack-1-sweden copy.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
188376__calodas__duck-quack-1-sweden.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
238593__zulfint__ducks-quacking1.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
31271__vzykov__duck.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
365133__gibarroule__duck-quack.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
389490__juanlopz08__01-duck-and-hen-quacking-clucking-close-farm.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
90027__tewell__fourshortquacks.wav	011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack	Animal	"Livestock, farm animals, working animals"	Fowl	Duck	Quack		FALSE	FALSE
012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk_reference.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		TRUE	FALSE
164484__adam-n__geese.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
202951__val-saville__geese-honking.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
23159__acclivity__canadageeseoverhead1 1.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
32673__incarnadine__wild-geese-fly-overhead.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
35543__corsica-s__canada-geese 1.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
365139__gibarroule__geese-horde-honk 1.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
65263__dobroide__20081221-goose.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
85535__maj061785__geese 1.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
95113__cgeffex__geese-fly-over.wav	012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk	Animal	"Livestock, farm animals, working animals"	Fowl	Goose	Honk		FALSE	FALSE
013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble_reference.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		TRUE	FALSE
233120__jarredgibb__turkey-gobble-5-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
233121__jarredgibb__turkey-gobble-6-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
233123__jarredgibb__turkey-gobble-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
233124__jarredgibb__turkey-gobble-2-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
233125__jarredgibb__turkey-gobble-3-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
233126__jarredgibb__turkey-gobble-4-96khz.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
341080__breiti__turkeys-loud-excited-shouting-x3-otherwise-quiet-normal.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
344277__klankbeeld__turkey-gobble-01.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
76902__robinhood76__01173-turkeys-on-air.wav	013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble	Animal	"Livestock, farm animals, working animals"	Fowl	Turkey	Gobble		FALSE	FALSE
014Animal_Livestock_ farm animals_ working animals_Goat_Bleat_reference.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			TRUE	FALSE
164789__ariat__goat.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			FALSE	FALSE
200333__jsbarrett__baby-goat-bleating.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			FALSE	FALSE
266616__obxjohn__baby-goat-bleating.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			FALSE	FALSE
267145__edufigg__young-goat-bleating-in-a-stable.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			FALSE	FALSE
267146__edufigg__two-goats-bleating-in-a-stable1.wav	014Animal_Livestock_ farm animals_ working animals_Goat_Bleat	Animal	"Livestock, farm animals, working animals"	Goat	Bleat			FALSE	FALSE
