	id	imitation_filename	reference_filename	wrong_pair	listener_id	is_imitation	is_right_imitation	rating
13	13	000Animal_Domestic animals_ pets_Cat_Growling-5788201797025792.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	0	True	True	87.0
14	14	000Animal_Domestic animals_ pets_Cat_Growling-5788201797025792.wav	175Sounds of things_Domestic sounds_ home sounds_Dishes_ pots_ and pans_reference.wav	True	0	True	False	
15	15	000Animal_Domestic animals_ pets_Cat_Growling-5942325624700928.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	2	True	True	93.0
16	16	000Animal_Domestic animals_ pets_Cat_Growling-6007197884481536.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	2	True	True	74.0
17	17	000Animal_Domestic animals_ pets_Cat_Growling-6022090146709504.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	4	True	True	67.0
18	18	000Animal_Domestic animals_ pets_Cat_Growling-6201653065678848.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	2	True	True	80.0
19	19	000Animal_Domestic animals_ pets_Cat_Growling-6209189391106048.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	14	True	True	93.0
20	20	000Animal_Domestic animals_ pets_Cat_Growling-6238002447646720.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	8	True	True	92.0
21	21	000Animal_Domestic animals_ pets_Cat_Growling-6238002447646720.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	8	True	True	69.0
22	22	000Animal_Domestic animals_ pets_Cat_Growling-6281482012196864.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	5	True	False	
23	23	000Animal_Domestic animals_ pets_Cat_Growling-6281482012196864.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	5	True	False	
24	24	000Animal_Domestic animals_ pets_Cat_Growling-6312278001451008.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	3	True	True	68.0
25	25	000Animal_Domestic animals_ pets_Cat_Growling-6486511134441472.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	14	True	True	89.0
26	26	001Animal_Domestic animals_ pets_Cat_Hiss-4827039924224000.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	9	True	True	71.0
27	27	001Animal_Domestic animals_ pets_Cat_Hiss-4884903065812992.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	1	True	True	58.0
28	28	001Animal_Domestic animals_ pets_Cat_Hiss-4900015445114880.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	10	True	True	44.0
29	29	001Animal_Domestic animals_ pets_Cat_Hiss-5108884268122112.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	12	True	True	100.0
30	30	001Animal_Domestic animals_ pets_Cat_Hiss-5124589889781760.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	6	True	True	81.0
31	31	001Animal_Domestic animals_ pets_Cat_Hiss-5124589889781760.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	6	True	True	80.0
32	32	001Animal_Domestic animals_ pets_Cat_Hiss-5124589889781760.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	6	True	True	80.0
33	33	001Animal_Domestic animals_ pets_Cat_Hiss-5168396677152768.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	10	True	True	54.0
34	34	001Animal_Domestic animals_ pets_Cat_Hiss-5196230481149952.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	85.0
35	35	001Animal_Domestic animals_ pets_Cat_Hiss-5201627644428288.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	10	True	True	59.0
36	36	001Animal_Domestic animals_ pets_Cat_Hiss-5351106330755072.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	8	True	True	57.0
37	37	001Animal_Domestic animals_ pets_Cat_Hiss-5417652419821568.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	90.0
38	38	001Animal_Domestic animals_ pets_Cat_Hiss-5680735809699840.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	0	True	True	83.0
39	39	001Animal_Domestic animals_ pets_Cat_Hiss-5713735654047744.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	90.0
40	40	001Animal_Domestic animals_ pets_Cat_Hiss-5731346630574080.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	70.0
41	41	001Animal_Domestic animals_ pets_Cat_Hiss-6011667871694848.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	0	True	True	74.0
42	42	001Animal_Domestic animals_ pets_Cat_Hiss-6108215515283456.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	50.0
43	43	001Animal_Domestic animals_ pets_Cat_Hiss-6199597521174528.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	9	True	True	67.0
44	44	001Animal_Domestic animals_ pets_Cat_Hiss-6209485206978560.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	14	True	True	97.0
45	45	001Animal_Domestic animals_ pets_Cat_Hiss-6293777429823488.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	7	True	True	80.0
46	46	001Animal_Domestic animals_ pets_Cat_Hiss-6303695314616320.wav	001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	2	True	True	80.0
47	47	002Animal_Domestic animals_ pets_Cat_Meow-4676439043473408.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	2	True	True	80.0
48	48	002Animal_Domestic animals_ pets_Cat_Meow-4817176531828736.wav	029Animal_Wild animals_Rodents_ rats_ mice_Mouse___3Samples_reference.wav	True	10	True	False	
49	49	002Animal_Domestic animals_ pets_Cat_Meow-4817176531828736.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	10	True	True	65.0
50	50	002Animal_Domestic animals_ pets_Cat_Meow-4817176531828736.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	10	True	True	63.0
51	51	002Animal_Domestic animals_ pets_Cat_Meow-4861891704782848.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	0	True	True	42.0
52	52	002Animal_Domestic animals_ pets_Cat_Meow-4861891704782848.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	0	True	True	42.0
53	53	002Animal_Domestic animals_ pets_Cat_Meow-5017959542030336.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	0	True	True	92.0
54	54	002Animal_Domestic animals_ pets_Cat_Meow-5087288098816000.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	7	True	True	72.0
55	55	002Animal_Domestic animals_ pets_Cat_Meow-5150785700626432.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	9	True	True	100.0
56	56	002Animal_Domestic animals_ pets_Cat_Meow-5151040445874176.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	11	True	True	60.0
57	57	002Animal_Domestic animals_ pets_Cat_Meow-5201690726760448.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	12	True	True	47.0
58	58	002Animal_Domestic animals_ pets_Cat_Meow-5375755550720000.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	14	True	True	92.0
59	59	002Animal_Domestic animals_ pets_Cat_Meow-5412228412997632.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	7	True	True	91.0
60	60	002Animal_Domestic animals_ pets_Cat_Meow-5466985487925248.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	11	True	True	66.0
61	61	002Animal_Domestic animals_ pets_Cat_Meow-5572768384942080.wav	232Sounds of things_Mechanisms_Gears_reference.wav	True	2	True	False	
62	62	002Animal_Domestic animals_ pets_Cat_Meow-5572768384942080.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	2	True	True	99.0
63	63	002Animal_Domestic animals_ pets_Cat_Meow-5656540782526464.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	1	True	True	22.0
64	64	002Animal_Domestic animals_ pets_Cat_Meow-5729758029545472.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	2	True	True	80.0
65	65	002Animal_Domestic animals_ pets_Cat_Meow-5817386099802112.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	2	True	True	90.0
66	66	002Animal_Domestic animals_ pets_Cat_Meow-5980732564439040.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	7	True	True	100.0
67	67	002Animal_Domestic animals_ pets_Cat_Meow-6282837611249664.wav	186Sounds of things_Domestic sounds_ home sounds_Packing tape_ duct tape_reference.wav	True	12	True	False	
68	68	002Animal_Domestic animals_ pets_Cat_Meow-6282837611249664.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	12	True	True	88.0
69	69	002Animal_Domestic animals_ pets_Cat_Meow-6295860488962048.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	1	True	True	89.0
70	70	002Animal_Domestic animals_ pets_Cat_Meow-6481914177257472.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	3	True	True	73.0
71	71	002Animal_Domestic animals_ pets_Cat_Meow-6542550793977856.wav	002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	10	True	True	55.0
72	72	003Animal_Domestic animals_ pets_Cat_Purr-4841806021787648.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	7	True	True	78.0
73	73	003Animal_Domestic animals_ pets_Cat_Purr-4893944777277440.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	80.0
74	74	003Animal_Domestic animals_ pets_Cat_Purr-4906974902747136.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	9	True	True	90.0
75	75	003Animal_Domestic animals_ pets_Cat_Purr-5080975302197248.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	10	True	True	10.0
76	76	003Animal_Domestic animals_ pets_Cat_Purr-5093824770605056.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	12	True	True	86.0
77	77	003Animal_Domestic animals_ pets_Cat_Purr-5146118144917504.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	83.0
78	78	003Animal_Domestic animals_ pets_Cat_Purr-5279883827609600.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	84.0
79	79	003Animal_Domestic animals_ pets_Cat_Purr-5368173859700736.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	75.0
80	80	003Animal_Domestic animals_ pets_Cat_Purr-5464105175482368.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	1	True	True	55.0
81	81	003Animal_Domestic animals_ pets_Cat_Purr-5464105175482368.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	1	True	True	60.0
82	82	003Animal_Domestic animals_ pets_Cat_Purr-5547743757991936.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	11	True	True	64.0
83	83	003Animal_Domestic animals_ pets_Cat_Purr-5649521866440704.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	10	True	False	
84	84	003Animal_Domestic animals_ pets_Cat_Purr-5682747733442560.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	78.0
85	85	003Animal_Domestic animals_ pets_Cat_Purr-5722721933590528.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	9	True	True	12.0
86	86	003Animal_Domestic animals_ pets_Cat_Purr-5731346630574080.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	75.0
87	87	003Animal_Domestic animals_ pets_Cat_Purr-5733348085334016.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	4	True	False	
88	88	003Animal_Domestic animals_ pets_Cat_Purr-5733348085334016.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	4	True	False	
89	89	003Animal_Domestic animals_ pets_Cat_Purr-5828643209084928.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	11	True	True	61.0
90	90	003Animal_Domestic animals_ pets_Cat_Purr-5912010134913024.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	2	True	True	70.0
91	91	003Animal_Domestic animals_ pets_Cat_Purr-5912010134913024.wav	297Source-ambiguous sounds_Surface contact_Grind_reference.wav	True	2	True	True	69.0
92	92	003Animal_Domestic animals_ pets_Cat_Purr-6300929624113152.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	14	True	True	98.0
93	93	003Animal_Domestic animals_ pets_Cat_Purr-6363076727144448.wav	003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	False	9	True	True	82.0
94	94	004Animal_Domestic animals_ pets_Dog_Bark-4724934324518912.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	78.0
95	95	004Animal_Domestic animals_ pets_Dog_Bark-4805813122105344.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	12	True	True	100.0
96	96	004Animal_Domestic animals_ pets_Dog_Bark-4876028589637632.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	70.0
97	97	004Animal_Domestic animals_ pets_Dog_Bark-5088548537499648.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	54.0
98	98	004Animal_Domestic animals_ pets_Dog_Bark-5148362265329664.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	11	True	True	59.0
99	99	004Animal_Domestic animals_ pets_Dog_Bark-5156937704407040.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	70.0
100	100	004Animal_Domestic animals_ pets_Dog_Bark-5252192025968640.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	14	True	True	100.0
101	101	004Animal_Domestic animals_ pets_Dog_Bark-5743257380192256.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	75.0
102	102	004Animal_Domestic animals_ pets_Dog_Bark-5755685136498688.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	65.0
103	103	004Animal_Domestic animals_ pets_Dog_Bark-5841347185475584.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	96.0
104	104	004Animal_Domestic animals_ pets_Dog_Bark-5949241595789312.wav	112Music_Musical instrument_Percussion_Mallet percussion_Marimba_ xylophone_reference.wav	True	5	True	False	
105	105	004Animal_Domestic animals_ pets_Dog_Bark-5949241595789312.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	70.0
106	106	004Animal_Domestic animals_ pets_Dog_Bark-5949241595789312.wav	112Music_Musical instrument_Percussion_Mallet percussion_Marimba_ xylophone_reference.wav	True	5	True	False	
107	107	004Animal_Domestic animals_ pets_Dog_Bark-5963713488093184.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	4	True	True	92.0
108	108	004Animal_Domestic animals_ pets_Dog_Bark-5963713488093184.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	4	True	True	95.0
109	109	004Animal_Domestic animals_ pets_Dog_Bark-5979344484696064.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	92.0
110	110	004Animal_Domestic animals_ pets_Dog_Bark-6235170453585920.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	12	True	True	100.0
111	111	004Animal_Domestic animals_ pets_Dog_Bark-6259737666519040.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	5	True	True	75.0
112	112	004Animal_Domestic animals_ pets_Dog_Bark-6259737666519040.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	5	True	True	75.0
113	113	004Animal_Domestic animals_ pets_Dog_Bark-6404297138896896.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	10	True	True	36.0
114	114	004Animal_Domestic animals_ pets_Dog_Bark-6408266225549312.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	9	True	True	58.0
115	115	004Animal_Domestic animals_ pets_Dog_Bark-6442573887438848.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	2	True	True	80.0
116	116	004Animal_Domestic animals_ pets_Dog_Bark-6610210219098112.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	8	True	True	96.0
117	117	004Animal_Domestic animals_ pets_Dog_Bark-6689741202259968.wav	004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	False	12	True	True	92.0
118	118	005Animal_Domestic animals_ pets_Dog_Growling-4809728790102016.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	3	True	True	82.0
119	119	005Animal_Domestic animals_ pets_Dog_Growling-4809728790102016.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	3	True	True	83.0
120	120	005Animal_Domestic animals_ pets_Dog_Growling-5144582157238272.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	1	True	True	70.0
121	121	005Animal_Domestic animals_ pets_Dog_Growling-5382838488662016.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	14	True	True	91.0
122	122	005Animal_Domestic animals_ pets_Dog_Growling-5638830484881408.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	2	True	True	99.0
123	123	005Animal_Domestic animals_ pets_Dog_Growling-5643795601293312.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	0	True	True	77.0
124	124	005Animal_Domestic animals_ pets_Dog_Growling-5644101080842240.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	9	True	True	95.0
125	125	005Animal_Domestic animals_ pets_Dog_Growling-5690820929781760.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	8	True	False	
126	126	005Animal_Domestic animals_ pets_Dog_Growling-5697642411589632.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	5	True	True	48.0
127	127	005Animal_Domestic animals_ pets_Dog_Growling-5697642411589632.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	5	True	True	49.0
128	128	005Animal_Domestic animals_ pets_Dog_Growling-5760458992648192.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	9	True	True	23.0
129	129	005Animal_Domestic animals_ pets_Dog_Growling-5760970899062784.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	1	False	False	
130	130	005Animal_Domestic animals_ pets_Dog_Growling-5760970899062784.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	1	False	False	
131	131	005Animal_Domestic animals_ pets_Dog_Growling-5788386212184064.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	6	True	True	81.0
132	132	005Animal_Domestic animals_ pets_Dog_Growling-5788386212184064.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	6	True	True	80.0
133	133	005Animal_Domestic animals_ pets_Dog_Growling-5788386212184064.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	6	True	True	80.0
134	134	005Animal_Domestic animals_ pets_Dog_Growling-5817062903513088.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	10	True	True	65.0
135	135	005Animal_Domestic animals_ pets_Dog_Growling-5941635208708096.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	2	True	True	87.0
136	136	005Animal_Domestic animals_ pets_Dog_Growling-5947558237044736.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	2	True	True	20.0
137	137	005Animal_Domestic animals_ pets_Dog_Growling-6062452907180032.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	7	True	True	61.0
138	138	005Animal_Domestic animals_ pets_Dog_Growling-6062452907180032.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	7	True	True	75.0
139	139	005Animal_Domestic animals_ pets_Dog_Growling-6203837727637504.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	10	True	True	47.0
140	140	005Animal_Domestic animals_ pets_Dog_Growling-6250230219538432.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	0	True	True	30.0
141	141	005Animal_Domestic animals_ pets_Dog_Growling-6293552749346816.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	1	True	True	47.0
142	142	005Animal_Domestic animals_ pets_Dog_Growling-6434029855309824.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	9	True	True	82.0
143	143	005Animal_Domestic animals_ pets_Dog_Growling-6444034981625856.wav	005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	False	0	True	True	92.0
144	144	006Animal_Domestic animals_ pets_Dog_Howl-4645895115112448.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	14	True	True	90.0
145	145	006Animal_Domestic animals_ pets_Dog_Howl-4667750056198144.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	31.0
146	146	006Animal_Domestic animals_ pets_Dog_Howl-4667750056198144.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	25.0
147	147	006Animal_Domestic animals_ pets_Dog_Howl-4729000584806400.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	67.0
148	148	006Animal_Domestic animals_ pets_Dog_Howl-4729000584806400.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	69.0
149	149	006Animal_Domestic animals_ pets_Dog_Howl-4827406338621440.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	75.0
150	150	006Animal_Domestic animals_ pets_Dog_Howl-5099119391539200.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	10	True	True	32.0
151	151	006Animal_Domestic animals_ pets_Dog_Howl-5190391741546496.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	9	True	True	13.0
152	152	006Animal_Domestic animals_ pets_Dog_Howl-5326247999569920.wav	056Human sounds_Human voice_Laughter_Chuckle_ chortle_reference.wav	True	7	True	False	
153	153	006Animal_Domestic animals_ pets_Dog_Howl-5326247999569920.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	7	True	True	66.0
154	154	006Animal_Domestic animals_ pets_Dog_Howl-5675214360805376.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	9	True	False	
155	155	006Animal_Domestic animals_ pets_Dog_Howl-5689792285114368.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	10	True	True	24.0
156	156	006Animal_Domestic animals_ pets_Dog_Howl-5734309889572864.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	9	True	True	91.0
157	157	006Animal_Domestic animals_ pets_Dog_Howl-5762637883244544.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	9	True	True	76.0
158	158	006Animal_Domestic animals_ pets_Dog_Howl-5762702576189440.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	3	True	True	11.0
159	159	006Animal_Domestic animals_ pets_Dog_Howl-5762702576189440.wav	035Human sounds_Digestive_Biting_ Chewing_reference.wav	True	3	True	False	
160	160	006Animal_Domestic animals_ pets_Dog_Howl-5767790501822464.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	86.0
161	161	006Animal_Domestic animals_ pets_Dog_Howl-5943076438671360.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	0	True	True	87.0
162	162	006Animal_Domestic animals_ pets_Dog_Howl-5966268725198848.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	50.0
163	163	006Animal_Domestic animals_ pets_Dog_Howl-5990391140581376.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	70.0
164	164	006Animal_Domestic animals_ pets_Dog_Howl-5998970337755136.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	60.0
165	165	006Animal_Domestic animals_ pets_Dog_Howl-5998970337755136.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	11	True	True	66.0
166	166	006Animal_Domestic animals_ pets_Dog_Howl-6195858886361088.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	65.0
167	167	006Animal_Domestic animals_ pets_Dog_Howl-6296298038755328.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	1	True	True	59.0
168	168	006Animal_Domestic animals_ pets_Dog_Howl-6449999349022720.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	10	True	True	62.0
169	169	006Animal_Domestic animals_ pets_Dog_Howl-6522976212090880.wav	006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	False	2	True	True	70.0
170	170	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell-4658202612334592.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell_reference.wav	False	10	True	True	44.0
171	171	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell-4677294681489408.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell_reference.wav	False	10	True	True	52.0
