	imitation_id	imitation_filename	category_id	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	reference_filename	included	draft	training	participant_id	satisfaction	participants_sound_recording_description	participants_sound_recording_description_confidence
10	10	000Animal_Domestic animals_ pets_Cat_Growling-5498179298525184.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	False	True	5742960000000000.0	Somewhat satisfied	There was a lion	Confident
11	11	000Animal_Domestic animals_ pets_Cat_Growling-5635663080718336.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6020600000000000.0			
12	12	000Animal_Domestic animals_ pets_Cat_Growling-5637489247125504.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
13	13	000Animal_Domestic animals_ pets_Cat_Growling-5672135942995968.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6020600000000000.0			
14	14	000Animal_Domestic animals_ pets_Cat_Growling-5680316245082112.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5725850000000000.0	Neither satisfied or dissatisfied	snoring	Neutral
15	15	000Animal_Domestic animals_ pets_Cat_Growling-5701496339431424.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6020600000000000.0			
16	16	000Animal_Domestic animals_ pets_Cat_Growling-5704147139559424.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	4874110000000000.0	Somewhat satisfied	growling	Confident
17	17	000Animal_Domestic animals_ pets_Cat_Growling-5706033703944192.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5733940000000000.0	Mostly satisfied	snoring	Confident
18	18	000Animal_Domestic animals_ pets_Cat_Growling-5737350726418432.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6020600000000000.0			
19	19	000Animal_Domestic animals_ pets_Cat_Growling-5763711893504000.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5094950000000000.0	Somewhat dissatisfied	Tiger	Confident
20	20	000Animal_Domestic animals_ pets_Cat_Growling-5769928858664960.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
21	21	000Animal_Domestic animals_ pets_Cat_Growling-5788201797025792.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5177220000000000.0	Somewhat satisfied	lion growling	Neutral
22	22	000Animal_Domestic animals_ pets_Cat_Growling-5930866651955200.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
23	23	000Animal_Domestic animals_ pets_Cat_Growling-5942325624700928.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	4883480000000000.0	Mostly satisfied	Growling lion	Confident
24	24	000Animal_Domestic animals_ pets_Cat_Growling-5976114132418560.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
25	25	000Animal_Domestic animals_ pets_Cat_Growling-5980602373242880.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
26	26	000Animal_Domestic animals_ pets_Cat_Growling-5987508680654848.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
27	27	000Animal_Domestic animals_ pets_Cat_Growling-5988749926203392.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
28	28	000Animal_Domestic animals_ pets_Cat_Growling-6007197884481536.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	6582090000000000.0	Completely satisfied	roar	Very confident
29	29	000Animal_Domestic animals_ pets_Cat_Growling-6022090146709504.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5402910000000000.0	Mostly dissatisfied	Monster growling	Neutral
30	30	000Animal_Domestic animals_ pets_Cat_Growling-6195934853595136.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
31	31	000Animal_Domestic animals_ pets_Cat_Growling-6201653065678848.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5417520000000000.0	Somewhat satisfied	snoring	Neutral
32	32	000Animal_Domestic animals_ pets_Cat_Growling-6209189391106048.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	6211110000000000.0	Somewhat satisfied	a person imitating a lion	Neutral
33	33	000Animal_Domestic animals_ pets_Cat_Growling-6230716572499968.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	False	True	5706970000000000.0	Neither satisfied or dissatisfied	indoor	Neutral
34	34	000Animal_Domestic animals_ pets_Cat_Growling-6238002447646720.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	4599770000000000.0	Somewhat satisfied	animal growling	Confident
35	35	000Animal_Domestic animals_ pets_Cat_Growling-6273046696427520.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
36	36	000Animal_Domestic animals_ pets_Cat_Growling-6281482012196864.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	False	False	5167240000000000.0	Somewhat satisfied	I just use my mouth not anything else.	Neutral
37	37	000Animal_Domestic animals_ pets_Cat_Growling-6312278001451008.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5526170000000000.0	Somewhat satisfied	lion	Confident
38	38	000Animal_Domestic animals_ pets_Cat_Growling-6486511134441472.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	6288440000000000.0	Somewhat satisfied	belch	Neutral
39	39	000Animal_Domestic animals_ pets_Cat_Growling-6510050239578112.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	5725850000000000.0			
40	40	001Animal_Domestic animals_ pets_Cat_Hiss-4758517747548160.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	6331450000000000.0			
41	41	001Animal_Domestic animals_ pets_Cat_Hiss-4770873294716928.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	6286100000000000.0			
42	42	001Animal_Domestic animals_ pets_Cat_Hiss-4798129157177344.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	6286100000000000.0			
43	43	001Animal_Domestic animals_ pets_Cat_Hiss-4827039924224000.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5724160000000000.0	Completely satisfied	blowing	Confident
44	44	001Animal_Domestic animals_ pets_Cat_Hiss-4884903065812992.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5154320000000000.0	Mostly satisfied	Blowing air through mouth	Confident
45	45	001Animal_Domestic animals_ pets_Cat_Hiss-4900015445114880.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6331450000000000.0	Somewhat satisfied	rubbing cloth	Not so confident
46	46	001Animal_Domestic animals_ pets_Cat_Hiss-5072999279493120.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	False	True	4791240000000000.0	Completely satisfied	humming	Very confident
47	47	001Animal_Domestic animals_ pets_Cat_Hiss-5108884268122112.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5036660000000000.0	Somewhat satisfied	pushing something	Confident
48	48	001Animal_Domestic animals_ pets_Cat_Hiss-5124589889781760.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5716000000000000.0	Somewhat satisfied	Brushing	Neutral
49	49	001Animal_Domestic animals_ pets_Cat_Hiss-5132029310009344.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5734180000000000.0			
50	50	001Animal_Domestic animals_ pets_Cat_Hiss-5168396677152768.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5194380000000000.0	Mostly satisfied	dragging on floor	Confident
51	51	001Animal_Domestic animals_ pets_Cat_Hiss-5171951567896576.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5724160000000000.0			
52	52	001Animal_Domestic animals_ pets_Cat_Hiss-5185626743767040.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5724160000000000.0			
53	53	001Animal_Domestic animals_ pets_Cat_Hiss-5196230481149952.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5734180000000000.0	Somewhat satisfied	carpet sweeper	Not so confident
54	54	001Animal_Domestic animals_ pets_Cat_Hiss-5201627644428288.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6354100000000000.0	Somewhat satisfied	deep Wiping sound	Neutral
55	55	001Animal_Domestic animals_ pets_Cat_Hiss-5351106330755072.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5720450000000000.0	Somewhat satisfied	SNZEEING	Confident
56	56	001Animal_Domestic animals_ pets_Cat_Hiss-5417652419821568.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5100330000000000.0	Mostly satisfied	inhaling sound	Confident
57	57	001Animal_Domestic animals_ pets_Cat_Hiss-5483102621138944.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5734180000000000.0			
58	58	001Animal_Domestic animals_ pets_Cat_Hiss-5680735809699840.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5709940000000000.0	Mostly satisfied	a broom	Confident
59	59	001Animal_Domestic animals_ pets_Cat_Hiss-5713735654047744.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6230120000000000.0	Somewhat satisfied	rubbing or sawing material	Not so confident
60	60	001Animal_Domestic animals_ pets_Cat_Hiss-5731346630574080.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5097660000000000.0	Somewhat satisfied	Air Pressure	Very confident
61	61	001Animal_Domestic animals_ pets_Cat_Hiss-5737611108810752.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5734180000000000.0			
62	62	001Animal_Domestic animals_ pets_Cat_Hiss-5840977415634944.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	True	False	5720450000000000.0			
63	63	001Animal_Domestic animals_ pets_Cat_Hiss-6011667871694848.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6006680000000000.0	Mostly satisfied	someone breathing in	Very confident
64	64	001Animal_Domestic animals_ pets_Cat_Hiss-6108215515283456.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5263790000000000.0	Mostly satisfied	breathing heavily into mic	Very confident
65	65	001Animal_Domestic animals_ pets_Cat_Hiss-6199597521174528.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	5700240000000000.0	Mostly satisfied	AIR SOUND	Confident
66	66	001Animal_Domestic animals_ pets_Cat_Hiss-6209485206978560.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	4860670000000000.0	Mostly satisfied	dragging something heavy 	Confident
67	67	001Animal_Domestic animals_ pets_Cat_Hiss-6229989112414208.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	False	False	True	5136990000000000.0	Completely satisfied	some mechanical whirring	Not at all confident
68	68	001Animal_Domestic animals_ pets_Cat_Hiss-6293777429823488.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6286100000000000.0	Mostly satisfied	blowing with mouth	Very confident
69	69	001Animal_Domestic animals_ pets_Cat_Hiss-6303695314616320.wav	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	True	False	False	6228630000000000.0	Somewhat satisfied	nose sound	Neutral
70	70	002Animal_Domestic animals_ pets_Cat_Meow-4668262767919104.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5648090000000000.0			
71	71	002Animal_Domestic animals_ pets_Cat_Meow-4676439043473408.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	4883480000000000.0	Mostly satisfied	cat mew and purr	Confident
72	72	002Animal_Domestic animals_ pets_Cat_Meow-4699030571450368.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	4883480000000000.0			
73	73	002Animal_Domestic animals_ pets_Cat_Meow-4796650614685696.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5465880000000000.0			
74	74	002Animal_Domestic animals_ pets_Cat_Meow-4817176531828736.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	6206310000000000.0	Mostly satisfied	person	Confident
75	75	002Animal_Domestic animals_ pets_Cat_Meow-4842545024598016.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5733940000000000.0			
76	76	002Animal_Domestic animals_ pets_Cat_Meow-4861891704782848.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5733940000000000.0	Somewhat satisfied	cat sound	Confident
77	77	002Animal_Domestic animals_ pets_Cat_Meow-5017959542030336.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5502400000000000.0	Completely satisfied	cat voice	Confident
78	78	002Animal_Domestic animals_ pets_Cat_Meow-5087288098816000.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	6022860000000000.0	Mostly satisfied	cat	Very confident
79	79	002Animal_Domestic animals_ pets_Cat_Meow-5117409509769216.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5028750000000000.0			
80	80	002Animal_Domestic animals_ pets_Cat_Meow-5122620915712000.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5168400000000000.0			
81	81	002Animal_Domestic animals_ pets_Cat_Meow-5129381999542272.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	6206310000000000.0			
82	82	002Animal_Domestic animals_ pets_Cat_Meow-5150785700626432.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5727900000000000.0	Completely satisfied	a cat meowing	Very confident
83	83	002Animal_Domestic animals_ pets_Cat_Meow-5151040445874176.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5417520000000000.0	Somewhat satisfied	Cat	Confident
84	84	002Animal_Domestic animals_ pets_Cat_Meow-5179846254657536.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	5132770000000000.0			
85	85	002Animal_Domestic animals_ pets_Cat_Meow-5201690726760448.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5653160000000000.0	Somewhat satisfied	Peacock	Neutral
86	86	002Animal_Domestic animals_ pets_Cat_Meow-5313212773826560.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	False	True	4599770000000000.0	Mostly satisfied	cat	Very confident
87	87	002Animal_Domestic animals_ pets_Cat_Meow-5375755550720000.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5168400000000000.0	Somewhat satisfied	Cat	Confident
88	88	002Animal_Domestic animals_ pets_Cat_Meow-5412228412997632.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5648090000000000.0	Somewhat satisfied	Cat meow	Confident
89	89	002Animal_Domestic animals_ pets_Cat_Meow-5466985487925248.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5465880000000000.0	Mostly satisfied	sound of a cat 	Confident
90	90	002Animal_Domestic animals_ pets_Cat_Meow-5521592238997504.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	4883480000000000.0			
91	91	002Animal_Domestic animals_ pets_Cat_Meow-5572768384942080.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5763420000000000.0	Mostly satisfied	birds sound	Confident
92	92	002Animal_Domestic animals_ pets_Cat_Meow-5647906690301952.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	False	True	6068830000000000.0	Somewhat satisfied	cat's meow	Confident
93	93	002Animal_Domestic animals_ pets_Cat_Meow-5649648836411392.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
94	94	002Animal_Domestic animals_ pets_Cat_Meow-5656540782526464.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5725850000000000.0	Mostly satisfied	cat 	Confident
95	95	002Animal_Domestic animals_ pets_Cat_Meow-5665797913444352.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
96	96	002Animal_Domestic animals_ pets_Cat_Meow-5682462386552832.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
97	97	002Animal_Domestic animals_ pets_Cat_Meow-5698998010642432.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
98	98	002Animal_Domestic animals_ pets_Cat_Meow-5706316634914816.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
99	99	002Animal_Domestic animals_ pets_Cat_Meow-5714468482842624.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	False	True	6032870000000000.0	Somewhat satisfied	Cat meowing	Very confident
100	100	002Animal_Domestic animals_ pets_Cat_Meow-5729758029545472.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5652910000000000.0	Mostly satisfied	cat	Very confident
101	101	002Animal_Domestic animals_ pets_Cat_Meow-5739578472267776.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5028750000000000.0			
102	102	002Animal_Domestic animals_ pets_Cat_Meow-5742351410528256.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
103	103	002Animal_Domestic animals_ pets_Cat_Meow-5760458992648192.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
104	104	002Animal_Domestic animals_ pets_Cat_Meow-5765346665431040.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
105	105	002Animal_Domestic animals_ pets_Cat_Meow-5817386099802112.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5028750000000000.0	Mostly satisfied	Cat Meowing 	Very confident
106	106	002Animal_Domestic animals_ pets_Cat_Meow-5980732564439040.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5119110000000000.0	Mostly satisfied	cat sound	Confident
107	107	002Animal_Domestic animals_ pets_Cat_Meow-5991118600667136.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	4599770000000000.0			
108	108	002Animal_Domestic animals_ pets_Cat_Meow-5994905151209472.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
109	109	002Animal_Domestic animals_ pets_Cat_Meow-6282837611249664.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	6339860000000000.0	Mostly satisfied	young cat meowing	Very confident
110	110	002Animal_Domestic animals_ pets_Cat_Meow-6295860488962048.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	True	False	False	5197870000000000.0	Mostly satisfied	a cat meowing	Very confident
111	111	002Animal_Domestic animals_ pets_Cat_Meow-6327401386606592.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	False	True	5132770000000000.0	Somewhat satisfied	organ chords	Very confident
112	112	002Animal_Domestic animals_ pets_Cat_Meow-6441351969243136.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	6032870000000000.0			
113	113	002Animal_Domestic animals_ pets_Cat_Meow-6467399335280640.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	True	4599770000000000.0			
114	114	002Animal_Domestic animals_ pets_Cat_Meow-6478376734818304.wav	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	False	True	False	5168400000000000.0			
