	category_id	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	reference_filename
118	118	Music	Musical instrument	Plucked string instrument	Banjo			118Music_Musical instrument_Plucked string instrument_Banjo_reference.wav
119	119	Music	Musical instrument	Plucked string instrument	Guitar	Acoustic guitar		119Music_Musical instrument_Plucked string instrument_Guitar_Acoustic guitar_reference.wav
120	120	Music	Musical instrument	Plucked string instrument	Guitar	Bass guitar		120Music_Musical instrument_Plucked string instrument_Guitar_Bass guitar_reference.wav
121	121	Music	Musical instrument	Plucked string instrument	Guitar	Electric guitar		121Music_Musical instrument_Plucked string instrument_Guitar_Electric guitar_reference.wav
122	122	Music	Musical instrument	Plucked string instrument	Guitar	Steel guitar, slide guitar		122Music_Musical instrument_Plucked string instrument_Guitar_Steel guitar_ slide guitar_reference.wav
123	123	Music	Musical instrument	Plucked string instrument	Guitar	Strum		123Music_Musical instrument_Plucked string instrument_Guitar_Strum_reference.wav
124	124	Music	Musical instrument	Plucked string instrument	Guitar	Tapping (guitar technique)		124Music_Musical instrument_Plucked string instrument_Guitar_Tapping (guitar technique)_reference.wav
125	125	Music	Musical instrument	Plucked string instrument	Mandolin			125Music_Musical instrument_Plucked string instrument_Mandolin_reference.wav
126	126	Music	Musical instrument	Plucked string instrument	Sitar			126Music_Musical instrument_Plucked string instrument_Sitar_reference.wav
127	127	Music	Musical instrument	Plucked string instrument	Ukulele			127Music_Musical instrument_Plucked string instrument_Ukulele_reference.wav
128	128	Music	Musical instrument	Plucked string instrument	Zither			128Music_Musical instrument_Plucked string instrument_Zither_reference.wav
129	129	Music	Musical instrument	Scratching (performance technique)				129Music_Musical instrument_Scratching (performance technique)_reference.wav
130	130	Music	Musical instrument	Singing bowl				130Music_Musical instrument_Singing bowl_reference.wav
131	131	Music	Musical instrument	Theremin				131Music_Musical instrument_Theremin_reference.wav
132	132	Music	Musical instrument	Wind instrument, woodwind instrument	Bassoo			132Music_Musical instrument_Wind instrument_ woodwind instrument_Bassoon_reference.wav
133	133	Music	Musical instrument	Wind instrument, woodwind instrument	Clarinet			133Music_Musical instrument_Wind instrument_ woodwind instrument_Clarinet_reference.wav
134	134	Music	Musical instrument	Wind instrument, woodwind instrument	Flute			134Music_Musical instrument_Wind instrument_ woodwind instrument_Flute_reference.wav
135	135	Music	Musical instrument	Wind instrument, woodwind instrument	Oboe			135Music_Musical instrument_Wind instrument_ woodwind instrument_Oboe_reference.wav
136	136	Music	Musical instrument	Wind instrument, woodwind instrument	Saxophone	Alto saxophone		136Music_Musical instrument_Wind instrument_ woodwind instrument_Saxophone_Alto saxophone_reference.wav
137	137	Music	Musical instrument	Wind instrument, woodwind instrument	Saxophone	Soprano saxophone		137Music_Musical instrument_Wind instrument_ woodwind instrument_Saxophone_Soprano saxophone_reference.wav
138	138	Natural sounds	Fire	Crackle				138Natural sounds_Fire_Crackle_reference.wav
139	139	Natural sounds	Thunderstorm	Thunder				139Natural sounds_Thunderstorm_Thunder_reference.wav
140	140	Natural sounds	Water	Gurgling				140Natural sounds_Water_Gurgling_reference.wav
141	141	Natural sounds	Water	Ocean	Waves, surf			141Natural sounds_Water_Ocean_Waves_ surf_reference.wav
142	142	Natural sounds	Water	Rain	Rain on surface			142Natural sounds_Water_Rain_Rain on surface_reference.wav
143	143	Natural sounds	Water	Stream				143Natural sounds_Water_Steam_reference.wav
144	144	Natural sounds	Water	Steam	Hiss			144Natural sounds_Water_Stream_Hiss_reference.wav
145	145	Natural sounds	Water	Waterfall				145Natural sounds_Water_Waterfall_reference.wav
146	146	Natural sounds	Wind	Howl (wind)				146Natural sounds_Wind_Howl (wind)_reference.wav
147	147	Natural sounds	Wind	Rustling leaves				147Natural sounds_Wind_Rustling leaves_reference.wav
148	148	Sounds of things	Alarm	Air horn, truck horn				148Sounds of things_Alarm_Air horn_ truck horn_reference.wav
149	149	Sounds of things	Alarm	Alarm clock				149Sounds of things_Alarm_Alarm clock_reference.wav
150	150	Sounds of things	Alarm	Bicycle bell				150Sounds of things_Alarm_Bicycle bell_reference.wav
151	151	Sounds of things	Alarm	Buzzer				151Sounds of things_Alarm_Buzzer_reference.wav
152	152	Sounds of things	Alarm	Car alarm				152Sounds of things_Alarm_Car alarm_reference.wav
153	153	Sounds of things	Alarm	Doorbell	Ding-dong			153Sounds of things_Alarm_Doorbell_Ding-dong_reference.wav
154	154	Sounds of things	Alarm	Fire alarm				154Sounds of things_Alarm_Fire alarm_reference.wav
155	155	Sounds of things	Alarm	Foghorn				155Sounds of things_Alarm_Foghorn_reference.wav
156	156	Sounds of things	Alarm	Siren	Ambulance (siren)			156Sounds of things_Alarm_Siren_Ambulance (siren)_reference.wav
157	157	Sounds of things	Alarm	Siren	Civil defense siren			157Sounds of things_Alarm_Siren_Civil defense siren_reference.wav
158	158	Sounds of things	Alarm	Siren	Fire engine, fire truck (siren)			158Sounds of things_Alarm_Siren_Fire engine_ fire truck (siren)_reference.wav
159	159	Sounds of things	Alarm	Siren	Police car (siren)			159Sounds of things_Alarm_Siren_Police car (siren)_reference.wav
160	160	Sounds of things	Alarm	Telephone	Busy signal			160Sounds of things_Alarm_Telephone_Busy signal_reference.wav
161	161	Sounds of things	Alarm	Telephone	Cellphone buzz, vibrating alert			161Sounds of things_Alarm_Telephone_Cellphone buzz_ vibrating alert_reference.wav
162	162	Sounds of things	Alarm	Telephone	Dial tone			162Sounds of things_Alarm_Telephone_Dial tone_reference.wav
163	163	Sounds of things	Alarm	Telephone	Ringtone			163Sounds of things_Alarm_Telephone_Ringtone_reference.wav
164	164	Sounds of things	Alarm	Telephone	Telephone bell ringing			164Sounds of things_Alarm_Telephone_Telephone bell ringing_reference.wav
165	165	Sounds of things	Alarm	Telephone	Telephone dialing, DTMF			165Sounds of things_Alarm_Telephone_Telephone dialing_ DTMF_reference.wav
166	166	Sounds of things	Alarm	Vehicle horn, car horn, honking	Toot			166Sounds of things_Alarm_Vehicle horn_ car horn_ honking_Toot_reference.wav
167	167	Sounds of things	Alarm	Whistle	Kettle whistle			167Sounds of things_Alarm_Whistle_Kettle whistle_reference.wav
168	168	Sounds of things	Bell	Chime	Wind chime			168Sounds of things_Bell_Chime_Wind chime_reference.wav
169	169	Sounds of things	Domestic sounds, home sounds	Bathtub (filling or washing)				169Sounds of things_Domestic sounds_ home sounds_Bathtub (filling or washing)_reference.wav
170	170	Sounds of things	Domestic sounds, home sounds	Blender				170Sounds of things_Domestic sounds_ home sounds_Blender_reference.wav
171	171	Sounds of things	Domestic sounds, home sounds	Chopping (food)				171Sounds of things_Domestic sounds_ home sounds_Chopping (food)_reference.wav
172	172	Sounds of things	Domestic sounds, home sounds	Coin (dropping)				172Sounds of things_Domestic sounds_ home sounds_Coin (dropping)_reference.wav
173	173	Sounds of things	Domestic sounds, home sounds	Cupboard open or close				173Sounds of things_Domestic sounds_ home sounds_Cupboard open or close_reference.wav
174	174	Sounds of things	Domestic sounds, home sounds	Cutlery, silverware				174Sounds of things_Domestic sounds_ home sounds_Cutlery_ silverware_reference.wav
175	175	Sounds of things	Domestic sounds, home sounds	Dishes, pots, and pans				175Sounds of things_Domestic sounds_ home sounds_Dishes_ pots_ and pans_reference.wav
176	176	Sounds of things	Domestic sounds, home sounds	Door	Knock			176Sounds of things_Domestic sounds_ home sounds_Door_Knock_reference.wav
177	177	Sounds of things	Domestic sounds, home sounds	Door	Slam			177Sounds of things_Domestic sounds_ home sounds_Door_Slam_reference.wav
178	178	Sounds of things	Domestic sounds, home sounds	Door	Sliding door			178Sounds of things_Domestic sounds_ home sounds_Door_Sliding door_reference.wav
179	179	Sounds of things	Domestic sounds, home sounds	Door	Squeak			179Sounds of things_Domestic sounds_ home sounds_Door_Squeak_reference.wav
180	180	Sounds of things	Domestic sounds, home sounds	Drawer open or close				180Sounds of things_Domestic sounds_ home sounds_Drawer open or close_reference.wav
181	181	Sounds of things	Domestic sounds, home sounds	Electric shaver, electric razor				181Sounds of things_Domestic sounds_ home sounds_Electric shaver_ electric razor_reference.wav
182	182	Sounds of things	Domestic sounds, home sounds	Frying (food)				182Sounds of things_Domestic sounds_ home sounds_Frying (food)_reference.wav
183	183	Sounds of things	Domestic sounds, home sounds	Hair dryer				183Sounds of things_Domestic sounds_ home sounds_Hair dryer_reference.wav
184	184	Sounds of things	Domestic sounds, home sounds	Keys jangling				184Sounds of things_Domestic sounds_ home sounds_Keys jangling_reference.wav
185	185	Sounds of things	Domestic sounds, home sounds	Microwave oven				185Sounds of things_Domestic sounds_ home sounds_Microwave oven_reference.wav
186	186	Sounds of things	Domestic sounds, home sounds	Packing tape, duct tape				186Sounds of things_Domestic sounds_ home sounds_Packing tape_ duct tape_reference.wav
187	187	Sounds of things	Domestic sounds, home sounds	Scissors				187Sounds of things_Domestic sounds_ home sounds_Scissors_reference.wav
188	188	Sounds of things	Domestic sounds, home sounds	Shuffling cards				188Sounds of things_Domestic sounds_ home sounds_Shuffling cards_reference.wav
189	189	Sounds of things	Domestic sounds, home sounds	Sink (filling or washing)				189Sounds of things_Domestic sounds_ home sounds_Sink (filling or washing)_reference.wav
190	190	Sounds of things	Domestic sounds, home sounds	Toilet flush				190Sounds of things_Domestic sounds_ home sounds_Toilet flush_reference.wav
191	191	Sounds of things	Domestic sounds, home sounds	Toothbrush	Electric toothbrush			191Sounds of things_Domestic sounds_ home sounds_Toothbrush_Electric toothbrush_reference.wav
192	192	Sounds of things	Domestic sounds, home sounds	Typing	Computer keyboard			192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard_reference.wav
193	193	Sounds of things	Domestic sounds, home sounds	Typing	Typewriter			193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter_reference.wav
194	194	Sounds of things	Domestic sounds, home sounds	Vacuum cleaner				194Sounds of things_Domestic sounds_ home sounds_Vacuum cleaner_reference.wav
195	195	Sounds of things	Domestic sounds, home sounds	Velcro, hook and loop fastener				195Sounds of things_Domestic sounds_ home sounds_Velcro_ hook and loop fastener_reference.wav
196	196	Sounds of things	Domestic sounds, home sounds	Water tap, faucet				196Sounds of things_Domestic sounds_ home sounds_Water tap_ faucet_reference.wav
197	197	Sounds of things	Domestic sounds, home sounds	Writing				197Sounds of things_Domestic sounds_ home sounds_Writing_reference.wav
198	198	Sounds of things	Domestic sounds, home sounds	Zipper (clothing)				198Sounds of things_Domestic sounds_ home sounds_Zipper (clothing)_reference.wav
199	199	Sounds of things	Engine	Accelerating, revving, vroom				199Sounds of things_Engine_Accelerating_ revving_ vroom_reference.wav
200	200	Sounds of things	Engine	Engine starting				200Sounds of things_Engine_Engine starting_reference.wav
201	201	Sounds of things	Engine	Idling				201Sounds of things_Engine_Idling_reference.wav
202	202	Sounds of things	Engine	Jet engine				202Sounds of things_Engine_Jet engine_reference.wav
203	203	Sounds of things	Engine	Light engine (high frequency)	Chainsaw			203Sounds of things_Engine_Light engine (high frequency)_Chainsaw_reference.wav
204	204	Sounds of things	Engine	Light engine (high frequency)	Dental drill, dentist's drill			204Sounds of things_Engine_Light engine (high frequency)_Dental drill_ dentist_s drill_reference.wav
205	205	Sounds of things	Engine	Light engine (high frequency)	Lawn mower			205Sounds of things_Engine_Light engine (high frequency)_Lawn mower_reference.wav
206	206	Sounds of things	Engine	Medium engine (mid frequency)				206Sounds of things_Engine_Medium engine (mid frequency)_reference.wav
207	207	Sounds of things	Explosion	Boom	Sonic boom			207Sounds of things_Explosion_Boom_Sonic boom_reference.wav
208	208	Sounds of things	Explosion	Burst, pop				208Sounds of things_Explosion_Burst_ pop_reference.wav
209	209	Sounds of things	Explosion	Eruption				209Sounds of things_Explosion_Eruption_reference.wav
210	210	Sounds of things	Explosion	Fireworks	Firecracker			210Sounds of things_Explosion_Fireworks_Firecracker_reference.wav
211	211	Sounds of things	Explosion	Gunshot, gunfire	Artillery fire			211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire_reference.wav
212	212	Sounds of things	Explosion	Gunshot, gunfire	Cap gun			212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun_reference.wav
213	213	Sounds of things	Explosion	Gunshot, gunfire	Fusillade			213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade_reference.wav
214	214	Sounds of things	Explosion	Gunshot, gunfire	Machine gun			214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun_reference.wav
215	215	Sounds of things	Glass	Chink, clink				215Sounds of things_Glass_Chink_ clink_reference.wav
216	216	Sounds of things	Glass	Shatter				216Sounds of things_Glass_Shatter_reference.wav
217	217	Sounds of things	Liquid	Boiling				217Sounds of things_Liquid_Boiling_reference.wav
218	218	Sounds of things	Liquid	Drip				218Sounds of things_Liquid_Drip_reference.wav
219	219	Sounds of things	Liquid	Fill (with liquid)				219Sounds of things_Liquid_Fill (with liquid)_reference.wav
220	220	Sounds of things	Liquid	Pour	Gush			220Sounds of things_Liquid_Pour_Gush_reference.wav
221	221	Sounds of things	Liquid	Pour	Trickle, dribble			221Sounds of things_Liquid_Pour_Trickle_ dribble_reference.wav
222	222	Sounds of things	Liquid	Pump (liquid)				222Sounds of things_Liquid_Pump (liquid)_reference.wav
223	223	Sounds of things	Liquid	Splash, splatter	Slosh			223Sounds of things_Liquid_Splash_ splatter_Slosh_reference.wav
224	224	Sounds of things	Liquid	Spray				224Sounds of things_Liquid_Spray_reference.wav
225	225	Sounds of things	Liquid	Squish				225Sounds of things_Liquid_Squish_reference.wav
226	226	Sounds of things	Liquid	Stir				226Sounds of things_Liquid_Stir_reference.wav
227	227	Sounds of things	Mechanisms	Air conditioning				227Sounds of things_Mechanisms_Air conditioning_reference.wav
228	228	Sounds of things	Mechanisms	Camera	Single-lens reflex camera			228Sounds of things_Mechanisms_Camera_Single-lens reflex camera_reference.wav
229	229	Sounds of things	Mechanisms	Cash register				229Sounds of things_Mechanisms_Cash register_reference.wav
230	230	Sounds of things	Mechanisms	Clock	Tick			230Sounds of things_Mechanisms_Clock_Tick_reference.wav
231	231	Sounds of things	Mechanisms		Tick-tock			231Sounds of things_Mechanisms_Clock_Tick-tock_reference.wav
232	232	Sounds of things	Mechanisms	Gears				232Sounds of things_Mechanisms_Gears_reference.wav
